address,x,y
20 TELOK BLANGAH CRES,26720.1576010166,28820.4011118356
16 TAMAN HO SWEE,27810.3606442157,30046.2030270807
32 TELOK BLANGAH RISE,26702.8097785609,28401.8870630357
33 TELOK BLANGAH WAY,26760.8093192279,28537.9945280124
142 JLN BT MERAH,27414.3393394761,28830.603450302
131 JLN BT MERAH,27427.9447981576,29182.3627020009
30 JLN KLINIK,27430.6734871576,30009.5007359218
63 TELOK BLANGAH HTS,25509.5919531463,28589.8974308632
61 TELOK BLANGAH HTS,25628.1992569054,28686.5085671023
116 BT MERAH VIEW,26688.2769996626,29729.1409034245
44 TELOK BLANGAH DR,25461.3116133912,28198.9820020292
24 BEO CRES,27459.1251497082,30104.1066182405
78 INDUS RD,27349.8197119012,30410.2215083484
55 TELOK BLANGAH DR,25644.0502367625,28493.5943318941
130 BT MERAH VIEW,27003.019990406,29668.6394112241
122 BT MERAH LANE 1,24759.3734619599,29875.6180888191
80C TELOK BLANGAH ST 31,25096.4741107523,28442.0710500944
50 MOH GUAN TER,27689.1541681597,29612.5456033479
47 MOH GUAN TER,27749.0155833084,29626.4743240941
54 HAVELOCK RD,27545.3478599163,30190.7507193182
101 HENDERSON CRES,26698.6278933948,30346.5605532024
23 TELOK BLANGAH CRES,26611.1798141338,28728.0468042903
106 HENDERSON CRES,26774.3372918703,30203.534614116
115 BT PURMEI RD,27291.2475312501,28647.4673477691
108 BT PURMEI RD,27112.6943949349,28426.9042780101
129 KIM TIAN RD,27503.3722503651,29288.9134203419
106B DEPOT RD,25488.4021852491,29233.2466634475
38 JLN RUMAH TINGGI,25365.2089187419,30116.0944347996
3 DELTA AVE,27334.0260596052,30454.9589806106
134 JLN BT MERAH,27377.3366083102,29030.92889213
80A TELOK BLANGAH ST 31,25024.1394713884,28462.7916642446
27A JLN MEMBINA,27022.5992594259,29406.7498590928
75A REDHILL RD,25992.132473263,30051.9003696553
77A REDHILL RD,26227.4056923054,30088.1573582403
57 HAVELOCK RD,27458.5352267055,30282.4896484856
48 LENGKOK BAHRU,25512.0749871908,29966.1245662272
35 JLN RUMAH TINGGI,25275.6593031026,30043.0439576209
46 LENGKOK BAHRU,25705.9707828444,29944.018919412
67 TELOK BLANGAH DR,25363.959335302,28568.3706289679
87 ZION RD,27920.9555586651,30340.123007087
1 DELTA AVE,27473.0907973954,30496.6361175738
214 PETIR RD,21493.8755051643,39659.5965111554
123 PENDING RD,21026.9413087917,39949.9267990962
249 BANGKIT RD,21404.6726698149,40329.7876641136
458 SEGAR RD,21072.2693699514,41108.4536408689
506 JELAPANG RD,20744.3110445691,40996.7278540116
621 SENJA RD,20158.2280804776,40884.7991808597
402 FAJAR RD,20739.0534957973,40253.5322917476
419 FAJAR RD,20910.4629642041,40655.2286618259
526 JELAPANG RD,20421.3567433273,40822.6006536148
623 SENJA RD,20085.564549203,40910.7909643743
128 PENDING RD,20925.5062126471,39779.7954871058
204 PETIR RD,21488.7799809091,39464.328365121
473 SEGAR RD,21192.1194468541,41129.832523128
237 BT PANJANG RING RD,21025.476429184,40060.6041635331
539 BT PANJANG RING RD,20202.0724958796,40544.3076703884
516 JELAPANG RD,20624.2517250953,41031.9474679884
217 PETIR RD,21348.2519979822,39656.0309426747
218 PETIR RD,21354.7544386564,39607.0634288844
517 JELAPANG RD,20587.0762545466,41107.6131897643
652 SENJA LINK,20268.7369430494,41042.6486833654
624 SENJA RD,20045.0829370609,40909.3880735971
629 SENJA RD,19760.3444169676,40940.8687743489
455 SEGAR RD,21044.9527870584,41025.2034888044
176 LOMPANG RD,20495.1052002106,40135.5595259983
418 FAJAR RD,20827.2346958928,40696.6479155682
484 SEGAR RD,21162.9237972638,41147.8876780942
140 PETIR RD,20836.8433581274,39721.7443697955
152 GANGSA RD,20499.6489996575,39690.9811110608
537 BT PANJANG RING RD,20188.6569082607,40630.5141872242
401 FAJAR RD,20812.1446834141,40280.295818042
242 BT PANJANG RING RD,21157.4995324379,40226.9637820721
613 BT PANJANG RING RD,20055.2086067256,40667.9768101368
654 SENJA RD,20313.4821033785,41086.6889023539
536 JELAPANG RD,20259.7870937483,40685.8463012911
154 GANGSA RD,20409.1511788936,39645.8808164783
174 LOMPANG RD,20541.9161806963,40242.8316817321
177 LOMPANG RD,20436.4637058768,40261.8186063096
606 SENJA RD,20015.4373841602,40362.3018651698
650 SENJA LINK,20208.9669372104,40983.170612229
228 PENDING RD,21059.7479591081,39704.4494255073
151 PETIR RD,20527.3308263104,39901.6183403842
4 TOH YI DR,21461.889873907,35631.4584761392
5 FARRER RD,25103.0603029365,33204.0382803511
15 TOH YI DR,21181.6269292263,35719.7915912438
